Periodicity;Year;Month;Quarter;Transactions / Sales;Sector;Value in different units;Date_Object;Date;Name
Monthly;2018;MAY;;Miscellaneous Goods and Services;Sales;2401633.46527997;2018-05-01;MAY 2018;Miscellaneous Goods and Services :  Sales
Monthly;2018;JUL;;Miscellaneous Goods and Services;Sales;2188053.95732998;2018-07-01;JUL 2018;Miscellaneous Goods and Services :  Sales
Monthly;2018;AUG;;Electronic & Electric Devices;Sales;617425.951699996;2018-08-01;AUG 2018;Electronic & Electric Devices :  Sales
Monthly;2018;JUL;;Furniture;Number of Transactions;1073.244;2018-07-01;JUL 2018;Furniture :  Number of Transactions
Monthly;2018;AUG;;Furniture;Number of Transactions;1044.394;2018-08-01;AUG 2018;Furniture :  Number of Transactions
Monthly;2018;OCT;;Furniture;Number of Transactions;1138.735;2018-10-01;OCT 2018;Furniture :  Number of Transactions
Monthly;2018;NOV;;Furniture;Number of Transactions;1176.764;2018-11-01;NOV 2018;Furniture :  Number of Transactions
Monthly;2018;JUL;;Furniture;Sales;838897.792199991;2018-07-01;JUL 2018;Furniture :  Sales
Monthly;2018;AUG;;Furniture;Sales;713819.687009995;2018-08-01;AUG 2018;Furniture :  Sales
Monthly;2018;OCT;;Furniture;Sales;772316.746209993;2018-10-01;OCT 2018;Furniture :  Sales
Monthly;2018;NOV;;Furniture;Sales;822763.147429992;2018-11-01;NOV 2018;Furniture :  Sales
Monthly;2018;JAN;;Construction & Building Materials;Number of Transactions;689.492;2018-01-01;JAN 2018;Construction & Building Materials :  Number of Transactions
Monthly;2018;MAY;;Construction & Building Materials;Number of Transactions;817.914;2018-05-01;MAY 2018;Construction & Building Materials :  Number of Transactions
Monthly;2018;JUL;;Construction & Building Materials;Number of Transactions;799.193;2018-07-01;JUL 2018;Construction & Building Materials :  Number of Transactions
Monthly;2018;SEP;;Construction & Building Materials;Number of Transactions;792.74;2018-09-01;SEP 2018;Construction & Building Materials :  Number of Transactions
Monthly;2018;AUG;;Construction & Building Materials;Sales;791324.46402999;2018-08-01;AUG 2018;Construction & Building Materials :  Sales
Monthly;2018;FEB;;Jewelry;Number of Transactions;452.853;2018-02-01;FEB 2018;Jewelry :  Number of Transactions
Monthly;2018;APR;;Jewelry;Number of Transactions;616.939;2018-04-01;APR 2018;Jewelry :  Number of Transactions
Monthly;2018;JUL;;Jewelry;Number of Transactions;592.641;2018-07-01;JUL 2018;Jewelry :  Number of Transactions
Monthly;2018;AUG;;Jewelry;Number of Transactions;671.579;2018-08-01;AUG 2018;Jewelry :  Number of Transactions
Monthly;2018;OCT;;Jewelry;Number of Transactions;508.328;2018-10-01;OCT 2018;Jewelry :  Number of Transactions
Monthly;2018;APR;;Jewelry;Sales;964864.421239986;2018-04-01;APR 2018;Jewelry :  Sales
