Periodicity;Year;Month;Quarter;Economic Activity;Bank Credit in (Million Riyals);Date;Date_Object
Monthly;2022;APR;;Wholesale and Retail Trade;166605.25654107;APR 2022;2022-04-01
Monthly;2022;NOV;;Wholesale and Retail Trade;170034.065227;NOV 2022;2022-11-01
Monthly;2022;JUL;;Transportation and Storage;40243.93935904;JUL 2022;2022-07-01
Monthly;2022;JAN;;Accommodation and Food Service Activities;32902.86632132;JAN 2022;2022-01-01
Monthly;2022;JUN;;Accommodation and Food Service Activities;35576.77598223;JUN 2022;2022-06-01
Monthly;2022;NOV;;Accommodation and Food Service Activities;38741.076647;NOV 2022;2022-11-01
Monthly;2022;FEB;;Information and Communication;19237.28622139;FEB 2022;2022-02-01
Monthly;2022;APR;;Information and Communication;19234.99123775;APR 2022;2022-04-01
Monthly;2022;NOV;;Information and Communication;20914.84902586;NOV 2022;2022-11-01
Monthly;2022;FEB;;Financial and Insurance Activities;83107.15823337;FEB 2022;2022-02-01
Monthly;2022;SEP;;Financial and Insurance Activities;102042.205371;SEP 2022;2022-09-01
Monthly;2022;MAR;;Real Estate Activities;168508.64474386;MAR 2022;2022-03-01
Monthly;2022;JUN;;Real Estate Activities;185838.82582339;JUN 2022;2022-06-01
Monthly;2022;JUL;;Real Estate Activities;187017.32201256;JUL 2022;2022-07-01
Monthly;2022;MAR;;Professional, Scientific and Technical Activities;5484.91885878;MAR 2022;2022-03-01
Monthly;2022;MAY;;Professional, Scientific and Technical Activities;5507.83277185;MAY 2022;2022-05-01
Monthly;2022;JUN;;Professional, Scientific and Technical Activities;5651.03193999;JUN 2022;2022-06-01
Monthly;2022;JUL;;Professional, Scientific and Technical Activities;5654.8093537;JUL 2022;2022-07-01
Monthly;2022;OCT;;Professional, Scientific and Technical Activities;5891.471329;OCT 2022;2022-10-01
Monthly;2022;DEC;;Professional, Scientific and Technical Activities;5433.61245;DEC 2022;2022-12-01
Monthly;2022;MAR;;Administrative and Support Service Activities;43417.55456614;MAR 2022;2022-03-01
Monthly;2022;JUN;;Administrative and Support Service Activities;42322.85738703;JUN 2022;2022-06-01
Monthly;2022;JUL;;Administrative and Support Service Activities;47884.4483558;JUL 2022;2022-07-01
Monthly;2022;AUG;;Administrative and Support Service Activities;48052.02680152;AUG 2022;2022-08-01
Monthly;2022;SEP;;Administrative and Support Service Activities;46485.419841;SEP 2022;2022-09-01
Monthly;2022;AUG;;Education;3962.5889382;AUG 2022;2022-08-01
Monthly;2022;OCT;;Education;3812.142876;OCT 2022;2022-10-01
Monthly;2022;NOV;;Education;4543.727791;NOV 2022;2022-11-01
Monthly;2022;APR;;Human Health and Social Work Activities;16389.75200192;APR 2022;2022-04-01
Monthly;2022;JUN;;Human Health and Social Work Activities;16965.37693993;JUN 2022;2022-06-01
Monthly;2022;AUG;;Human Health and Social Work Activities;17154.23362101;AUG 2022;2022-08-01
Monthly;2022;JAN;;Individuals' Loans;1034498.69323989;JAN 2022;2022-01-01
Monthly;2022;FEB;;Individuals' Loans;1039480.24006278;FEB 2022;2022-02-01
Monthly;2022;MAR;;Individuals' Loans;1059482.08713391;MAR 2022;2022-03-01
Monthly;2022;APR;;Individuals' Loans;1070805.28231052;APR 2022;2022-04-01
Monthly;2022;JUL;;Individuals' Loans;1113224.71123522;JUL 2022;2022-07-01
Monthly;2022;AUG;;Individuals' Loans;1127467.17276174;AUG 2022;2022-08-01
Monthly;2022;OCT;;Individuals' Loans;1154205.53772766;OCT 2022;2022-10-01
Monthly;2022;MAY;;Other Activities;84540.94648182;MAY 2022;2022-05-01
Monthly;2022;SEP;;Other Activities;92303.9682149701;SEP 2022;2022-09-01
Monthly;2022;MAY;;Total;2192892.085;MAY 2022;2022-05-01
Monthly;2022;JUN;;Total;2241917.864;JUN 2022;2022-06-01
Monthly;2022;DEC;;Total;2349071.015;DEC 2022;2022-12-01
Annually;2022;;;Agriculture, Forestry and Fishing;11241.084129;2022;2022-01-01
Annually;2022;;;Wholesale and Retail Trade;167665.360438;2022;2022-01-01
Quarterly;2022;;Q2;Agriculture, Forestry and Fishing;12642.85410133;Q2 2022;2022-04-01
Quarterly;2022;;Q1;Mining and Quarrying;32187.26938265;Q1 2022;2022-01-01
Quarterly;2022;;Q2;Manufacturing;174692.06717237;Q2 2022;2022-04-01
Quarterly;2022;;Q3;Manufacturing;175422.019601;Q3 2022;2022-07-01
Quarterly;2022;;Q1;Electricity, Gas and Water Supplies;98934.51151991;Q1 2022;2022-01-01
Quarterly;2022;;Q2;Electricity, Gas and Water Supplies;103942.8178155;Q2 2022;2022-04-01
Quarterly;2022;;Q2;Construction;109489.17507018;Q2 2022;2022-04-01
Quarterly;2022;;Q3;Construction;109369.775955;Q3 2022;2022-07-01
Quarterly;2022;;Q1;Wholesale and Retail Trade;164640.14524353;Q1 2022;2022-01-01
Quarterly;2022;;Q1;Transportation and Storage;41858.58618979;Q1 2022;2022-01-01
Quarterly;2022;;Q4;Transportation and Storage;43726.679305;Q4 2022;2022-10-01
Quarterly;2022;;Q2;Accommodation and Food Service Activities;35576.77598223;Q2 2022;2022-04-01
Quarterly;2022;;Q2;Professional, Scientific and Technical Activities;5651.03193999;Q2 2022;2022-04-01
Quarterly;2022;;Q1;Education;5219.91215039;Q1 2022;2022-01-01
Quarterly;2022;;Q1;Human Health and Social Work Activities;15901.72621447;Q1 2022;2022-01-01
Quarterly;2022;;Q3;Individuals' Loans;1139904.18082817;Q3 2022;2022-07-01
Quarterly;2022;;Q2;Other Activities;86446.892842192;Q2 2022;2022-04-01
Quarterly;2022;;Q1;Total;2155860.954;Q1 2022;2022-01-01
Monthly;2022;FEB;;Agriculture, Forestry and Fishing;12621.86976789;FEB 2022;2022-02-01
Monthly;2022;MAY;;Agriculture, Forestry and Fishing;12769.01013561;MAY 2022;2022-05-01
Monthly;2022;AUG;;Agriculture, Forestry and Fishing;12890.67025186;AUG 2022;2022-08-01
Monthly;2022;JAN;;Mining and Quarrying;31248.07462855;JAN 2022;2022-01-01
Monthly;2022;OCT;;Mining and Quarrying;37893.270005;OCT 2022;2022-10-01
Monthly;2022;NOV;;Mining and Quarrying;36456.89204;NOV 2022;2022-11-01
Monthly;2022;MAY;;Manufacturing;172388.77665511;MAY 2022;2022-05-01
Monthly;2022;SEP;;Electricity, Gas and Water Supplies;108056.992103;SEP 2022;2022-09-01
Monthly;2022;DEC;;Electricity, Gas and Water Supplies;112088.770341;DEC 2022;2022-12-01
Monthly;2022;FEB;;Construction;103567.42688535;FEB 2022;2022-02-01
Monthly;2022;JUL;;Construction;109925.37590027;JUL 2022;2022-07-01
Monthly;2022;NOV;;Construction;112733.258169;NOV 2022;2022-11-01
Monthly;2022;JAN;;Wholesale and Retail Trade;152825.03537182;JAN 2022;2022-01-01
Monthly;2022;SEP;;Wholesale and Retail Trade;167882.596822;SEP 2022;2022-09-01
Monthly;2022;FEB;;Transportation and Storage;42874.15467304;FEB 2022;2022-02-01
Monthly;2022;JUN;;Transportation and Storage;40580.85150974;JUN 2022;2022-06-01
Monthly;2022;OCT;;Transportation and Storage;42106.618985;OCT 2022;2022-10-01
Monthly;2022;NOV;;Transportation and Storage;42869.230963;NOV 2022;2022-11-01
Monthly;2022;SEP;;Accommodation and Food Service Activities;37627.716541;SEP 2022;2022-09-01
Monthly;2022;OCT;;Information and Communication;20599.78364386;OCT 2022;2022-10-01
Monthly;2022;JUN;;Financial and Insurance Activities;92697.89558161;JUN 2022;2022-06-01
Monthly;2022;JUL;;Financial and Insurance Activities;91153.91673457;JUL 2022;2022-07-01
Monthly;2022;AUG;;Financial and Insurance Activities;92095.87961055;AUG 2022;2022-08-01
Monthly;2022;OCT;;Financial and Insurance Activities;97586.157274;OCT 2022;2022-10-01
Monthly;2022;SEP;;Real Estate Activities;197717.797917;SEP 2022;2022-09-01
Monthly;2022;NOV;;Professional, Scientific and Technical Activities;5974.57516;NOV 2022;2022-11-01
Monthly;2022;FEB;;Administrative and Support Service Activities;44126.70775064;FEB 2022;2022-02-01
Monthly;2022;APR;;Administrative and Support Service Activities;47373.8319797;APR 2022;2022-04-01
Monthly;2022;DEC;;Education;4821.894439;DEC 2022;2022-12-01
Monthly;2022;FEB;;Human Health and Social Work Activities;16444.06179118;FEB 2022;2022-02-01
Monthly;2022;MAR;;Human Health and Social Work Activities;15901.72621447;MAR 2022;2022-03-01
Monthly;2022;SEP;;Human Health and Social Work Activities;16959.536411;SEP 2022;2022-09-01
Monthly;2022;NOV;;Individuals' Loans;1159061.24566297;NOV 2022;2022-11-01
Monthly;2022;MAR;;Total;2155860.954;MAR 2022;2022-03-01
Monthly;2022;SEP;;Total;2315577.867;SEP 2022;2022-09-01
Monthly;2022;AUG;;Transportation and Storage;41229.76072191;AUG 2022;2022-08-01
Annually;2022;;;Electricity, Gas and Water Supplies;112088.770341;2022;2022-01-01
Annually;2022;;;Construction;109333.25717;2022;2022-01-01
Annually;2022;;;Other Activities;100393.3620537;2022;2022-01-01
Quarterly;2022;;Q4;Agriculture, Forestry and Fishing;11241.084129;Q4 2022;2022-10-01
Quarterly;2022;;Q3;Mining and Quarrying;37182.315497;Q3 2022;2022-07-01
Quarterly;2022;;Q4;Accommodation and Food Service Activities;38181.539289;Q4 2022;2022-10-01
Quarterly;2022;;Q3;Information and Communication;20734.02563686;Q3 2022;2022-07-01
Quarterly;2022;;Q2;Real Estate Activities;185838.82582339;Q2 2022;2022-04-01
Quarterly;2022;;Q4;Real Estate Activities;203114.827772;Q4 2022;2022-10-01
Quarterly;2022;;Q3;Professional, Scientific and Technical Activities;5989.540313;Q3 2022;2022-07-01
Quarterly;2022;;Q2;Administrative and Support Service Activities;42322.85738703;Q2 2022;2022-04-01
Quarterly;2022;;Q4;Individuals' Loans;1162459.40003444;Q4 2022;2022-10-01
Monthly;2022;FEB;;Mining and Quarrying;32001.63260049;FEB 2022;2022-02-01
Monthly;2022;APR;;Manufacturing;175902.67644072;APR 2022;2022-04-01
Monthly;2022;DEC;;Manufacturing;167641.133435;DEC 2022;2022-12-01
Monthly;2022;FEB;;Electricity, Gas and Water Supplies;95178.16589059;FEB 2022;2022-02-01
Monthly;2022;AUG;;Electricity, Gas and Water Supplies;108244.39947668;AUG 2022;2022-08-01
Monthly;2022;MAR;;Construction;107138.34871584;MAR 2022;2022-03-01
Monthly;2022;APR;;Construction;106541.91242398;APR 2022;2022-04-01
Monthly;2022;AUG;;Construction;110187.9878396;AUG 2022;2022-08-01
Monthly;2022;MAY;;Wholesale and Retail Trade;165644.05486371;MAY 2022;2022-05-01
Monthly;2022;MAR;;Transportation and Storage;41858.58618979;MAR 2022;2022-03-01
Monthly;2022;APR;;Transportation and Storage;41259.07632666;APR 2022;2022-04-01
Monthly;2022;FEB;;Accommodation and Food Service Activities;33975.04073712;FEB 2022;2022-02-01
Monthly;2022;AUG;;Accommodation and Food Service Activities;37381.61022352;AUG 2022;2022-08-01
Monthly;2022;OCT;;Accommodation and Food Service Activities;37697.709404;OCT 2022;2022-10-01
Monthly;2022;JAN;;Information and Communication;19084.19619335;JAN 2022;2022-01-01
Monthly;2022;MAY;;Information and Communication;19473.8468359;MAY 2022;2022-05-01
Monthly;2022;NOV;;Financial and Insurance Activities;99363.6277;NOV 2022;2022-11-01
Monthly;2022;DEC;;Financial and Insurance Activities;102368.918244;DEC 2022;2022-12-01
Monthly;2022;FEB;;Real Estate Activities;164795.40620905;FEB 2022;2022-02-01
Monthly;2022;OCT;;Real Estate Activities;197103.728239;OCT 2022;2022-10-01
Monthly;2022;FEB;;Professional, Scientific and Technical Activities;5602.16431179;FEB 2022;2022-02-01
Monthly;2022;JAN;;Administrative and Support Service Activities;44119.40520231;JAN 2022;2022-01-01
Monthly;2022;MAY;;Administrative and Support Service Activities;46129.0114624;MAY 2022;2022-05-01
Monthly;2022;FEB;;Education;5054.35611513;FEB 2022;2022-02-01
Monthly;2022;MAR;;Education;5219.91215039;MAR 2022;2022-03-01
Monthly;2022;APR;;Education;5312.91904574;APR 2022;2022-04-01
Monthly;2022;JUN;;Education;5863.83063205;JUN 2022;2022-06-01
Monthly;2022;SEP;;Education;3766.819166;SEP 2022;2022-09-01
Monthly;2022;JAN;;Human Health and Social Work Activities;15644.2392163;JAN 2022;2022-01-01
Monthly;2022;SEP;;Individuals' Loans;1139904.18082817;SEP 2022;2022-09-01
Monthly;2022;MAR;;Other Activities;82537.4783382899;MAR 2022;2022-03-01
Monthly;2022;APR;;Other Activities;82512.4633781405;APR 2022;2022-04-01
Monthly;2022;JUN;;Other Activities;86446.892842192;JUN 2022;2022-06-01
Monthly;2022;JUL;;Other Activities;88914.4902493898;JUL 2022;2022-07-01
Monthly;2022;AUG;;Other Activities;91030.7975809398;AUG 2022;2022-08-01
Monthly;2022;APR;;Total;2176553.64;APR 2022;2022-04-01
Monthly;2022;OCT;;Total;2332039.967;OCT 2022;2022-10-01
Annually;2022;;;Accommodation and Food Service Activities;38181.539289;2022;2022-01-01
Annually;2022;;;Financial and Insurance Activities;102368.918244;2022;2022-01-01
Annually;2022;;;Human Health and Social Work Activities;17584.658658;2022;2022-01-01
Quarterly;2022;;Q4;Manufacturing;167641.133435;Q4 2022;2022-10-01
Quarterly;2022;;Q3;Electricity, Gas and Water Supplies;108056.992103;Q3 2022;2022-07-01
Quarterly;2022;;Q4;Construction;109333.25717;Q4 2022;2022-10-01
Quarterly;2022;;Q3;Transportation and Storage;41858.080283;Q3 2022;2022-07-01
Quarterly;2022;;Q1;Accommodation and Food Service Activities;34471.20873907;Q1 2022;2022-01-01
Quarterly;2022;;Q2;Financial and Insurance Activities;92697.89558161;Q2 2022;2022-04-01
Quarterly;2022;;Q3;Real Estate Activities;197717.797917;Q3 2022;2022-07-01
Quarterly;2022;;Q1;Professional, Scientific and Technical Activities;5484.91885878;Q1 2022;2022-01-01
Quarterly;2022;;Q1;Administrative and Support Service Activities;43417.55456614;Q1 2022;2022-01-01
Quarterly;2022;;Q2;Human Health and Social Work Activities;16965.37693993;Q2 2022;2022-04-01
Quarterly;2022;;Q3;Human Health and Social Work Activities;16959.536411;Q3 2022;2022-07-01
Quarterly;2022;;Q1;Individuals' Loans;1059482.08713391;Q1 2022;2022-01-01
Quarterly;2022;;Q4;Other Activities;100393.3620537;Q4 2022;2022-10-01
Quarterly;2022;;Q4;Total;2349071.015;Q4 2022;2022-10-01
Monthly;2022;JAN;;Agriculture, Forestry and Fishing;12308.51339498;JAN 2022;2022-01-01
Monthly;2022;MAR;;Agriculture, Forestry and Fishing;13062.03683046;MAR 2022;2022-03-01
Monthly;2022;JUL;;Agriculture, Forestry and Fishing;12589.46400711;JUL 2022;2022-07-01
Monthly;2022;SEP;;Agriculture, Forestry and Fishing;12274.876499;SEP 2022;2022-09-01
Monthly;2022;MAY;;Mining and Quarrying;32974.79228372;MAY 2022;2022-05-01
Monthly;2022;AUG;;Mining and Quarrying;36783.97305883;AUG 2022;2022-08-01
Monthly;2022;JUL;;Manufacturing;172380.26989214;JUL 2022;2022-07-01
Monthly;2022;JUL;;Electricity, Gas and Water Supplies;104769.36459907;JUL 2022;2022-07-01
Monthly;2022;JAN;;Construction;103317.16717635;JAN 2022;2022-01-01
Monthly;2022;SEP;;Construction;109369.775955;SEP 2022;2022-09-01
Monthly;2022;OCT;;Construction;112987.857682;OCT 2022;2022-10-01
Monthly;2022;JUN;;Wholesale and Retail Trade;166520.5164116;JUN 2022;2022-06-01
Monthly;2022;AUG;;Wholesale and Retail Trade;170011.37075616;AUG 2022;2022-08-01
Monthly;2022;DEC;;Wholesale and Retail Trade;167665.360438;DEC 2022;2022-12-01
Monthly;2022;JAN;;Transportation and Storage;42620.63029327;JAN 2022;2022-01-01
Monthly;2022;AUG;;Information and Communication;20816.76121724;AUG 2022;2022-08-01
Monthly;2022;APR;;Financial and Insurance Activities;86831.59785958;APR 2022;2022-04-01
Monthly;2022;MAY;;Financial and Insurance Activities;83792.98177667;MAY 2022;2022-05-01
Monthly;2022;JAN;;Real Estate Activities;161782.87983132;JAN 2022;2022-01-01
Monthly;2022;APR;;Real Estate Activities;170944.35859082;APR 2022;2022-04-01
Monthly;2022;AUG;;Real Estate Activities;193688.70167719;AUG 2022;2022-08-01
Monthly;2022;DEC;;Real Estate Activities;203114.827772;DEC 2022;2022-12-01
Monthly;2022;APR;;Professional, Scientific and Technical Activities;5447.65759475;APR 2022;2022-04-01
Monthly;2022;SEP;;Professional, Scientific and Technical Activities;5989.540313;SEP 2022;2022-09-01
Monthly;2022;OCT;;Administrative and Support Service Activities;46784.888347;OCT 2022;2022-10-01
Monthly;2022;NOV;;Administrative and Support Service Activities;47077.258825;NOV 2022;2022-11-01
Monthly;2022;JAN;;Education;4920.39001429;JAN 2022;2022-01-01
Monthly;2022;JUL;;Education;3912.51293411;JUL 2022;2022-07-01
Monthly;2022;DEC;;Human Health and Social Work Activities;17584.658658;DEC 2022;2022-12-01
Monthly;2022;DEC;;Individuals' Loans;1162459.40003444;DEC 2022;2022-12-01
Monthly;2022;JAN;;Other Activities;73156.56773949;JAN 2022;2022-01-01
Monthly;2022;OCT;;Other Activities;93157.5331204799;OCT 2022;2022-10-01
Monthly;2022;NOV;;Other Activities;99375.1053631698;NOV 2022;2022-11-01
Monthly;2022;FEB;;Total;2110186.761;FEB 2022;2022-02-01
Monthly;2022;JUL;;Total;2255909.671;JUL 2022;2022-07-01
Monthly;2022;AUG;;Total;2291002.831;AUG 2022;2022-08-01
Annually;2021;;;Manufacturing;170066.1720285;2021;2021-01-01
Annually;2021;;;Wholesale and Retail Trade;152880.55886625;2021;2021-01-01
Annually;2021;;;Information and Communication;18015.39829301;2021;2021-01-01
Annually;2021;;;Real Estate Activities;158721.69694626;2021;2021-01-01
Quarterly;2021;;Q4;Electricity, Gas and Water Supplies;92277.71099802;Q4 2021;2021-10-01
Quarterly;2021;;Q3;Information and Communication;18021.649867595;Q3 2021;2021-07-01
Quarterly;2021;;Q3;Financial and Insurance Activities;79604.6287728425;Q3 2021;2021-07-01
Quarterly;2021;;Q4;Financial and Insurance Activities;81313.87412892;Q4 2021;2021-10-01
Quarterly;2021;;Q3;Professional, Scientific and Technical Activities;5784.60703023;Q3 2021;2021-07-01
Quarterly;2021;;Q4;Human Health and Social Work Activities;15765.93561134;Q4 2021;2021-10-01
Quarterly;2021;;Q3;Individuals' Loans;963449.390488175;Q3 2021;2021-07-01
Quarterly;2021;;Q4;Total;2059219.988;Q4 2021;2021-10-01
Monthly;2021;AUG;;Agriculture, Forestry and Fishing;11076.96307682;AUG 2021;2021-08-01
Monthly;2021;AUG;;Mining and Quarrying;30629.62981927;AUG 2021;2021-08-01
Monthly;2021;OCT;;Manufacturing;173184.171965233;OCT 2021;2021-10-01
Monthly;2021;OCT;;Electricity, Gas and Water Supplies;85548.37066024;OCT 2021;2021-10-01
Monthly;2021;NOV;;Electricity, Gas and Water Supplies;87189.58723103;NOV 2021;2021-11-01
Monthly;2021;AUG;;Construction;107803.939653407;AUG 2021;2021-08-01
Monthly;2021;DEC;;Wholesale and Retail Trade;152880.55886625;DEC 2021;2021-12-01
Monthly;2021;NOV;;Transportation and Storage;48432.84248878;NOV 2021;2021-11-01
Monthly;2021;AUG;;Information and Communication;18461.22092698;AUG 2021;2021-08-01
